name,rank,rank_point,height,age,hand
N.Djokovic,1,12030,188,33.723,Right-Handed
J.Chardy,66,950,188,33.995,Right-Handed
F.Tiafoe,62,1005,188,23.049,Right-Handed
S.Travaglia,71,894,185,29.118,Right-Handed
R.Opelka,40,1402,211,23.447,Right-Handed
Y.Lu,1008,10,180,37.496,Right-Handed
A.Ramos-Vinolas,46,1210,188,33.066,Left-Handed
T.Fritz,30,1695,193,23.279,Right-Handed
S.Wawrinka,18,2365,183,35.874,Right-Handed
P.Sousa,108,698,180,32.707,Right-Handed
M.Fucsovics,55,1072,188,29.003,Right-Handed
M.Polmans,125,546,188,23.77,Right-Handed
C.Moutet,80,838,175,21.805,Left-Handed
J.Millman,38,1421,183,31.658,Right-Handed
F.Coria,92,783,180,28.921,Right-Handed
M.Raonic,15,2580,196,30.121,Right-Handed
G.Monfils,11,2860,193,34.444,Right-Handed
E.Ruusuvuori,86,816,188,21.852,Right-Handed
Y.Nishioka,57,1062,170,25.367,Left-Handed
P.Martinez,87,810,185,23.786,Right-Handed
A.Bedene,58,1055,183,31.564,Right-Handed
A.Bublik,45,1220,196,23.644,Right-Handed
S.Stakhovsky,201,329,193,35.096,Right-Handed
D.Lajovic,26,1785,183,30.614,Right-Handed
A.Mannarino,35,1561,180,32.616,Left-Handed
D.Novak,100,737,183,27.449,Right-Handed
M.Kecmanovic,42,1328,183,21.438,Right-Handed
K.Majchrzak,109,690,180,25.071,Right-Handed
T.Daniel,117,591,191,28.033,Right-Handed
M.Cressy,171,389,198,23.753,Right-Handed
M.Giron,73,884,180,27.545,Right-Handed
A.Zverev,7,5615,198,23.803,Right-Handed
D.Thiem,3,9125,185,27.433,Right-Handed
M.Kukushkin,90,796,183,33.126,Right-Handed
D.Koepfer,68,931,180,26.781,Left-Handed
H.Dellien,112,646,180,27.649,Right-Handed
F.Ferreira Silva,184,356,178,25.896,Left-Handed
N.Kyrgios,47,1170,193,25.786,Right-Handed
Y.Uchiyama,106,701,183,28.512,Right-Handed
U.Humbert,32,1671,188,22.619,Left-Handed
G.Dimitrov,19,2260,191,29.737,Right-Handed
M.Cilic,43,1325,198,32.367,Right-Handed
A.Bolt,174,380,183,28.093,Left-Handed
N.Gombos,89,797,193,30.493,Right-Handed
K.Coppejans,178,368,180,27.003,Right-Handed
J.Vesely,69,928,198,27.584,Left-Handed
K.Nishikori,41,1345,178,31.115,Right-Handed
P.Carreno Busta,16,2580,188,29.581,Right-Handed
D.Shapovalov,12,2830,185,21.816,Left-Handed
J.Sinner,36,1464,188,19.477,Right-Handed
Y.Sugita,104,721,175,32.395,Right-Handed
B.Tomic,229,253,196,28.301,Right-Handed
D.Dzumhur,120,572,175,28.723,Right-Handed
J.Duckworth,105,709,183,29.052,Right-Handed
C.Stebe,128,534,180,30.337,Left-Handed
F.Auger-Aliassime,21,2241,193,20.499,Right-Handed
B.Paire,28,1738,196,31.759,Right-Handed
E.Gerasimov,78,840,196,28.244,Right-Handed
G.Mager,96,770,188,26.189,Right-Handed
A.Karatsev,113,642,185,27.43,Right-Handed
A.Muller,209,305,183,24.016,Right-Handed
J.Londero,81,832,180,27.485,Right-Handed
E.Ymer,204,314,180,24.83,Right-Handed
D.Schwartzman,9,3455,170,28.482,Right-Handed
A.Rublev,8,4164,188,23.301,Right-Handed
Y.Hanfmann,101,736,193,29.241,Right-Handed
T.Monteiro,83,824,183,26.693,Left-Handed
A.Martin,102,734,183,31.389,Right-Handed
L.Tu,1001,11,188,23.9,Right-Handed
F.Lopez,63,998,188,39.395,Left-Handed
S.Querrey,51,1085,198,33.345,Right-Handed
L.Sonego,34,1588,191,25.748,Right-Handed
C.Ruud,27,1739,183,22.129,Right-Handed
J.Thompson,52,1084,183,26.805,Right-Handed
N.Basilashvili,39,1405,185,28.962,Right-Handed
T.Paul,53,1080,185,23.729,Right-Handed
C.O'Connell,121,565,183,26.685,Right-Handed
J.Struff,37,1450,193,30.795,Right-Handed
R.Albot,85,817,175,31.247,Right-Handed
R.Bautista Agut,13,2710,183,32.825,Right-Handed
D.Goffin,14,2600,180,30.175,Right-Handed
A.Popyrin,114,631,196,21.51,Right-Handed
L.Harris,91,793,193,23.953,Right-Handed
M.Torpegaard,193,340,193,26.756,Right-Handed
M.McDonald,194,335,178,25.816,Right-Handed
M.Cecchinato,79,838,185,28.359,Right-Handed
G.Pella,44,1310,183,30.734,Left-Handed
B.Coric,25,1855,188,24.233,Right-Handed
F.Krajinovic,31,1673,185,28.951,Right-Handed
R.Haase,198,330,191,33.849,Right-Handed
P.Andujar,59,1044,180,35.049,Right-Handed
Q.Halys,206,310,191,24.285,Right-Handed
R.Carballes Baena,98,751,183,27.882,Right-Handed
A.Balazs,94,779,180,32.37,Right-Handed
V.Pospisil,61,1013,193,30.633,Right-Handed
D.Medvedev,4,8470,198,24.992,Right-Handed
S.Tsitsipas,6,5940,193,22.49,Right-Handed
G.Simon,64,990,183,36.123,Right-Handed
T.Kokkinakis,266,209,193,24.83,Right-Handed
S.Kwon,97,768,180,23.184,Right-Handed
B.Van de Zandschulp,159,423,188,25.348,Right-Handed
C.Alcaraz,146,464,185,17.759,Right-Handed
M.Ymer,95,775,183,22.414,Right-Handed
H.Hurkacz,29,1735,196,23.989,Right-Handed
K.Khachanov,20,2245,198,24.718,Right-Handed
A.Vukic,195,334,188,24.841,Right-Handed
R.Berankis,72,889,175,30.638,Right-Handed
S.Nagal,139,480,178,23.479,Right-Handed
T.Machac,197,333,183,20.318,Right-Handed
M.Vilella Martinez,188,346,178,25.603,Right-Handed
K.Anderson,82,825,203,34.734,Right-Handed
M.Berrettini,10,3120,196,24.825,Right-Handed
F.Fognini,17,2420,178,33.718,Right-Handed
P.Herbert,84,822,188,29.899,Right-Handed
H.Laaksonen,136,492,185,28.86,Right-Handed
S.Caruso,76,858,185,28.151,Right-Handed
P.Cuevas,70,927,180,35.11,Right-Handed
A.Seppi,107,699,191,36.973,Right-Handed
T.Sandgren,50,1088,188,29.553,Right-Handed
A.de Minaur,23,2065,183,21.973,Right-Handed
D.Evans,33,1589,175,30.718,Right-Handed
C.Norrie,67,935,188,25.463,Left-Handed
I.Ivashka,110,681,193,26.956,Right-Handed
R.Safiullin,182,357,185,23.504,Right-Handed
M.Mmoh,177,368,188,23.077,Right-Handed
V.Troicki,202,326,193,35.0,Right-Handed
L.Djere,56,1068,188,25.688,Right-Handed
R.Nadal,2,9850,185,34.69,Left-Handed
